seconds_pre_waveform_query	1729623670.2207785
seconds_post_waveform_query	1729623670.2677612
xzero1	0
xmultiplier1	5e-05
yzero1	1.3800000000000001
ymultiplier1	0.02
transfer_duty_cycle	1.0
xzero2	0
xmultiplier2	5e-05
yzero2	0.32
ymultiplier2	0.08
xzero3	0
xmultiplier3	5e-05
yzero3	-0.74
ymultiplier3	0.02
xzero4	0
xmultiplier4	5e-05
yzero4	-0.0
ymultiplier4	0.388
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	0
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2], d[3], d[4] )\n\nxlabels = 'x'\nylabels = ( 'y1', 'y2', 'y3', 'y4' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y1	y2	y3	y4
0.0	1.58	1.5205	0.88	5.043
5e-05	1.62	1.601	0.8203	4.656
0.0001	1.58	1.601	0.88	4.656
0.00015000000000000001	1.62	1.5205	0.8203	5.043
0.0002	1.58	1.5205	0.88	5.043
0.00025	1.62	1.601	0.84	4.656
0.00030000000000000003	1.58	1.601	0.88	4.656
0.00035	1.62	1.5205	0.8203	5.043
0.0004	1.58	1.5205	0.88	5.043
0.00045000000000000004	1.62	1.681	0.8203	4.656
0.0005	1.58	1.681	0.88	5.043
0.00055	1.62	1.5205	0.8203	4.656
0.0006000000000000001	1.58	1.681	0.88	4.656
0.0006500000000000001	1.62	1.601	0.8203	5.043
0.0007	1.58	1.601	0.88	4.656
0.00075	1.62	1.681	0.84	5.043
0.0008	1.58	1.681	0.84	4.656
0.0008500000000000001	1.62	1.601	0.88	5.043
0.0009000000000000001	1.58	1.681	0.8203	5.043
0.00095	1.62	1.601	0.88	-0.388
0.001	1.58	1.681	0.88	-0.776
0.0010500000000000002	1.62	1.601	0.8203	-5.43
0.0011	1.58	1.601	0.88	-5.43
0.00115	1.62	1.681	0.84	-5.043
0.0012000000000000001	1.58	1.681	0.88	-5.43
0.00125	1.6	1.601	0.8203	-5.043
0.0013000000000000002	1.6	1.601	0.88	-5.43
0.00135	1.58	1.681	0.8203	-5.043
0.0014	1.6	1.681	0.88	-5.43
0.0014500000000000001	1.58	1.5205	0.8203	-5.043
0.0015	1.58	1.681	0.8203	-5.43
0.0015500000000000002	1.62	1.5205	0.88	-5.043
0.0016	1.58	1.5205	0.8203	-5.43
0.00165	1.62	1.601	0.88	-5.043
0.0017000000000000001	1.58	1.601	0.84	-5.43
0.00175	1.6	1.5205	0.8203	-5.043
0.0018000000000000002	1.58	1.5205	0.84	-5.43
0.00185	1.6	1.601	0.8203	-5.043
0.0019	1.58	1.5205	0.84	-5.043
0.0019500000000000001	1.62	1.601	0.8203	-5.43
0.002	1.58	1.5205	0.84	-5.43
0.00205	1.62	1.601	0.8203	-5.043
